taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
2109671,Candidatus_Nitrosocosmicus_sp,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrosocosmicus,s__Candidatus_Nitrosocosmicus_sp
1971748,Nitrososphaera_sp,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,s__Nitrososphaera_sp
1915571,Geoglobus_sp_UBA235,d__Archaea,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Geoglobus,s__Geoglobus_sp_UBA235
2282126,Halorubrum_sp_Atlit_8R,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_sp_Atlit_8R
1932004,Haloarcula_taiwanensis,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_taiwanensis
2013673,Candidatus_Altiarchaeales_archaeon_HGW_Altiarchaeales_1,d__Archaea,k__Archaea,p__Candidatus_Altiarchaeota,c__Candidatus_Altiarchaeales__O+,o__Candidatus_Altiarchaeales,f__Candidatus_Altiarchaeales_archaeon_HGW_Altiarchaeales_1__S+,g__Candidatus_Altiarchaeales_archaeon_HGW_Altiarchaeales_1__S+,s__Candidatus_Altiarchaeales_archaeon_HGW_Altiarchaeales_1
1915977,Euryarchaeota_archaeon_UBA85,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__Euryarchaeota_archaeon_UBA85__S+,g__Euryarchaeota_archaeon_UBA85__S+,s__Euryarchaeota_archaeon_UBA85
1915582,Methanosarcina_sp_UBA363,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA363
930943,Sulfolobus_islandicus_HVE10_4,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
2563889,Halalkalirubrum_salinum,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Halalkalirubrum,s__Halalkalirubrum_salinum
1483399,Halorubrum_sp_C3,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_sp_C3
1898379,Methanothermobacter_sp_MT_2,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanothermobacter,s__Methanothermobacter_sp_MT_2
1916025,Candidatus_Woesearchaeota_archaeon_UBA492,d__Archaea,k__Archaea,p__Candidatus_Woesearchaeota,c__Candidatus_Woesearchaeota_archaeon_UBA492__S+,o__Candidatus_Woesearchaeota_archaeon_UBA492__S+,f__Candidatus_Woesearchaeota_archaeon_UBA492__S+,g__Candidatus_Woesearchaeota_archaeon_UBA492__S+,s__Candidatus_Woesearchaeota_archaeon_UBA492
2282148,Candidatus_Micrarchaeum_sp,d__Archaea,k__Archaea,p__Candidatus_Micrarchaeota,c__Candidatus_Micrarchaeia,o__Candidatus_Micrarchaeales,f__Candidatus_Micrarchaeaceae,g__Candidatus_Micrarchaeum,s__Candidatus_Micrarchaeum_sp
182779,Haloarcula_quadrata,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_quadrata
1915986,Euryarchaeota_archaeon_UBA99,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__Euryarchaeota_archaeon_UBA99__S+,g__Euryarchaeota_archaeon_UBA99__S+,s__Euryarchaeota_archaeon_UBA99
2670410,Halobacteria_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteria_archaeon__S+,f__Halobacteria_archaeon__S+,g__Halobacteria_archaeon__S+,s__Halobacteria_archaeon
1434103,Methanosarcina_sp_WWM596,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_WWM596
1678448,Haloparvum_sedimenti,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Haloparvum,s__Haloparvum_sedimenti
